time,P,G(i),H_sun,T2m,WS10m
20200722:0610,266.33,551,35.53,19.15,3.59
20200722:0710,334.64,691,44.58,19.97,4.28
20200722:0810,370.18,768.01,52.49,20.97,4.97
20200722:0910,229.12,479,58.07,21.26,5.24
20200722:1010,319.81,666,59.83,21.34,5.31
20200722:1110,281.62,588,57.11,21.91,5.31
20200722:1210,116.97,254,50.88,22.43,5.38
20200722:1310,301.58,626,42.64,22.74,5.72
20200722:1410,188.84,398,33.44,22.44,5.24
20200722:1510,143.6,313,23.91,22.51,5.17
20200722:1610,73.27,182,14.49,22.07,4.07
20200722:1710,11.26,46.34,5.53,21.22,3.03
20200722:1810,0,0,0,20.07,2.55
20200722:1910,0,0,0,18.54,2.14
20200722:2010,0,0,0,17.57,2.28
20200722:2110,0,0,0,16.66,2.34
20200722:2210,0,0,0,15.8,2.28
20200722:2310,0,0,0,15.02,2.21
20200723:0010,0,0,0,14.34,2.21
20200723:0110,0,0,0,13.82,2.34
20200723:0210,0,0,0,13.38,2.34
20200723:0310,19.37,59,7.3,13.17,2.21
20200723:0410,95.82,223,16.4,14.69,1.79
20200723:0510,183.36,389,25.88,16.74,1.93
20200723:0610,261.87,548,35.37,18.21,1.59
20200723:0710,310.47,653,44.42,18.99,1.66
20200723:0810,346.99,735.01,52.31,20.32,2.21
20200723:0910,349.45,740.01,57.87,21.5,3.1
20200723:1010,298.58,633,59.63,22.04,3.1
20200723:1110,234.36,498,56.92,22.06,2.69
20200723:1210,316.73,674,50.72,22.12,2.34
20200723:1310,249.91,531,42.49,21.88,1.86
20200723:1410,166.15,357,33.29,21.93,1.52
20200723:1510,137.61,304,23.77,21.73,1.1
20200723:1610,55.22,136,14.35,21.26,0.21
20200723:1710,10.68,44.61,5.37,20.77,0.76
20200723:1810,0,0,0,19.9,1.38
20200723:1910,0,0,0,19.06,1.24
20200723:2010,0,0,0,18.59,0.9
20200723:2110,0,0,0,18.82,0.48
20200723:2210,0,0,0,17,1.1
20200723:2310,0,0,0,16.75,2
20200724:0010,0,0,0,16.81,2.41
20200724:0110,0,0,0,16.28,2.28
20200724:0210,0,0,0,15.92,1.93
20200724:0310,0.29,7,7.13,15.74,1.72
20200724:0410,4.51,20,16.24,16.3,1.52
20200724:0510,11.47,37,25.72,17.21,1.72
20200724:0610,44.03,106,35.21,18.58,1.79
20200724:0710,165.4,351,44.25,19.36,1.72
20200724:0810,247.56,525,52.13,20.33,1.66
20200724:0910,333.47,714,57.67,21.41,1.93
20200724:1010,330.71,708,59.42,22.37,2.41
20200724:1110,394.21,851.01,56.73,22.46,2.21
20200724:1210,367.38,787.01,50.55,22.31,2.21
20200724:1310,297.88,634,42.33,22.34,1.93
20200724:1410,169.07,364,33.15,22.57,1.59
20200724:1510,125.78,279,23.62,22.57,1.45
20200724:1610,75.11,191,14.19,22.25,1.45
20200724:1710,8.72,33.75,5.22,21.48,1.38
20200724:1810,0,0,0,20.08,1.72
20200724:1910,0,0,0,18.94,2.21
20200724:2010,0,0,0,17.92,2.28
20200724:2110,0,0,0,17.17,2.34
20200724:2210,0,0,0,16.75,2.48
20200724:2310,0,0,0,16.58,2.55
20200725:0010,0,0,0,16.44,2.62
20200725:0110,0,0,0,16.36,2.69
20200725:0210,0,0,0,16.36,2.69
20200725:0310,0.06,6,6.97,16.5,2.69
20200725:0410,4.1,19,16.08,17.36,2.62
20200725:0510,9.65,33,25.56,19.15,2.9
20200725:0610,21.11,59,35.05,20.9,3.31
20200725:0710,45.04,109,44.08,21.07,2.9
20200725:0810,293.47,622,51.94,22.71,2.97
20200725:0910,384.59,829.01,57.47,24.21,2.83
20200725:1010,388.42,843.01,59.21,25.75,3.03
20200725:1110,138.9,306,56.53,26.63,3.03
20200725:1210,36.12,93,50.37,27.04,2.76
20200725:1310,29.53,79,42.17,27.3,2.41
20200725:1410,24.48,68,32.99,27.21,2.34
20200725:1510,11.3,38,23.47,26.92,2.14
20200725:1610,5.78,24,14.04,24.46,2.28
20200725:1710,0.76,9,5.05,23.18,1.24
20200725:1810,0,0,0,22.4,1.79
20200725:1910,0,0,0,20.09,0.83
20200725:2010,0,0,0,19.69,1.52
20200725:2110,0,0,0,19.41,2
20200725:2210,0,0,0,19.21,2.28
20200725:2310,0,0,0,18.99,2.34
20200726:0010,0,0,0,18.79,2.34
20200726:0110,0,0,0,18.58,2.34
20200726:0210,0,0,0,18.46,2.34
20200726:0310,0.05,6,6.8,18.22,2.28
20200726:0410,4.07,19,15.92,18.77,2.21
20200726:0510,33.05,84,25.4,19.98,2.34
20200726:0610,162.79,347,34.89,21.43,2.55
20200726:0710,231.74,493,43.91,21.74,1.66
20200726:0810,238.85,512,51.75,22.68,1.66
20200726:0910,136.3,299,57.26,24.06,1.52
20200726:1010,196.16,429,58.99,25.57,1.38
20200726:1110,263.14,577,56.33,26.51,1.52
20200726:1210,236.16,517,50.19,27.08,1.66
20200726:1310,173.86,382,42,27.66,2
20200726:1410,32.66,86,32.83,27.9,2.14
20200726:1510,52.06,127,23.31,27.7,2.41
20200726:1610,43.22,111,13.88,26.93,2.41
20200726:1710,6.01,26.36,4.88,25.54,1.72
20200726:1810,0,0,0,23.99,1.17
20200726:1910,0,0,0,22.53,2.28
20200726:2010,0,0,0,21.92,2.21
20200726:2110,0,0,0,21.38,2.14
20200726:2210,0,0,0,20.81,2.14
20200726:2310,0,0,0,20.32,2.07
20200727:0010,0,0,0,19.69,2
20200727:0110,0,0,0,19.05,2
20200727:0210,0,0,0,18.35,1.93
20200727:0310,0.05,6,6.62,17.85,1.72
20200727:0410,22.19,61,15.75,19.18,1.1
20200727:0510,98.2,219,25.24,21.99,1.17
20200727:0610,135.11,296,34.72,23.93,1.31
20200727:0710,297.89,643,43.73,24.91,1.79
20200727:0810,333.02,728.01,51.56,26.39,1.93
20200727:0910,359.51,792.01,57.04,27.74,2.34
20200727:1010,361.39,800.01,58.77,28.75,2.48
20200727:1110,360.56,800.01,56.12,29.38,2.41
20200727:1210,316.15,698.01,50,29.57,2.28
20200727:1310,292.67,644,41.83,29.84,2.28
20200727:1410,198.88,439,32.67,29.06,1.93
20200727:1510,118.03,269,23.15,26.72,0.97
20200727:1610,52.25,134,13.71,26.52,0.76
20200727:1710,7.84,33.94,4.71,25.51,0.76
20200727:1810,0,0,0,23.98,1.1
20200727:1910,0,0,0,22.81,1.72
20200727:2010,0,0,0,21.65,1.45
20200727:2110,0,0,0,21.66,1.03
20200727:2210,0,0,0,22.16,0.62
20200727:2310,0,0,0,21.47,0.76
20200728:0010,0,0,0,20.59,0.9
20200728:0110,0,0,0,19.74,1.03
20200728:0210,0,0,0,18.48,1.31
20200728:0310,6.01,24,6.45,17.73,1.38
20200728:0410,68.61,164,15.58,19.3,0.9
20200728:0510,151.39,334,25.07,22.61,0.97
20200728:0610,229.25,498,34.55,24.76,1.03
20200728:0710,297.41,651,43.55,26.11,1.17
20200728:0810,342.94,765.01,51.36,27.82,1.17
20200728:0910,370.09,835.01,56.83,29.1,1.38
20200728:1010,356.11,806.01,58.55,29.98,1.38
20200728:1110,337.81,762.01,55.9,30.59,1.52
20200728:1210,337.04,757.01,49.8,30.86,1.66
20200728:1310,290.53,645,41.65,30.53,1.79
20200728:1410,221.29,491,32.5,30.33,2
20200728:1510,131.43,303,22.98,29.81,1.79
20200728:1610,38.35,101,13.54,28.92,0.9
20200728:1710,6.76,29.76,4.53,27.47,1.38
20200728:1810,0,0,0,25.44,1.66
20200728:1910,0,0,0,23.71,1.52
20200728:2010,0,0,0,22.56,1.45
20200728:2110,0,0,0,21.48,1.59
20200728:2210,0,0,0,20.55,2
20200728:2310,0,0,0,20.15,2.21
20200729:0010,0,0,0,19.63,2.14
20200729:0110,0,0,0,19.01,2
20200729:0210,0,0,0,18.51,1.93
20200729:0310,6.79,26,6.27,18.23,2
20200729:0410,75.32,182,15.41,19.84,1.66
20200729:0510,155.58,343,24.9,23.08,1.59
20200729:0610,226.57,490,34.38,25.45,1.86
20200729:0710,299.99,651,43.37,27.05,2.28
20200729:0810,345.95,761.01,51.16,28.91,2.55
20200729:0910,371.9,826.01,56.6,30.27,2.83
20200729:1010,380.6,850.01,58.31,31.05,2.9
20200729:1110,352.58,785.01,55.68,31.52,2.97
20200729:1210,301.56,667,49.6,31.96,3.24
20200729:1310,274.5,604,41.47,32.01,3.45
20200729:1410,181.66,404,32.32,32.11,3.66
20200729:1510,126.73,293,22.8,31.54,3.52
20200729:1610,65.02,175,13.36,30.03,3.52
20200729:1710,6.31,31.61,4.34,27.5,3.24
20200729:1810,0,0,0,25.61,2.69
20200729:1910,0,0,0,24.04,2.21
20200729:2010,0,0,0,23.22,2.34
20200729:2110,0,0,0,22.45,2.55
20200729:2210,0,0,0,21.85,2.14
20200729:2310,0,0,0,21.26,2.14
20200730:0010,0,0,0,20.82,2.21
20200730:0110,0,0,0,20.23,2.14
20200730:0210,0,0,0,19.82,2.21
20200730:0310,0,5,6.09,19.61,2.21
20200730:0410,3.67,18,15.23,20.13,2.48
20200730:0510,37.25,93,24.73,20.98,2.69
20200730:0610,213.25,454,34.2,22.6,2.28
20200730:0710,309.13,658.01,43.18,22.74,2.14
20200730:0810,352.65,765.01,50.95,24.12,1.79
20200730:0910,354.14,777.01,56.38,25.4,1.72
20200730:1010,336.55,739.01,58.07,26.5,2
20200730:1110,342.32,751.01,55.45,27.18,2.28
20200730:1210,268.73,585,49.39,27.59,2.55
20200730:1310,154.89,341,41.27,27.67,2.55
20200730:1410,30.41,81,32.14,27.54,2.28
20200730:1510,43.61,109,22.62,27.28,2.34
20200730:1610,42.31,110,13.17,26.72,1.66
20200730:1710,4.81,23.34,4.15,25.7,1.31
20200730:1810,0,0,0,24.49,1.45
20200730:1910,0,0,0,22.84,1.31
20200730:2010,0,0,0,21.74,1.59
20200730:2110,0,0,0,20.89,1.59
20200730:2210,0,0,0,20.59,1.72
20200730:2310,0,0,0,20.32,1.86
20200731:0010,0,0,0,19.81,2
20200731:0110,0,0,0,19.41,2.14
20200731:0210,0,0,0,19.17,2.41
20200731:0310,0,5,5.9,18.84,2.62
20200731:0410,19.9,56,15.06,19.19,2.55
20200731:0510,17.54,51,24.56,19.81,2.9
20200731:0610,71.51,162,34.03,20.35,2.9
20200731:0710,94.97,209,42.99,20.44,2.97
20200731:0810,364.51,771.01,50.74,21.28,2.76
20200731:0910,382.64,815.01,56.14,22.91,3.31
20200731:1010,160.42,345,57.83,23.48,3.72
20200731:1110,86.95,195,55.22,23.26,3.93
20200731:1210,219.55,465,49.18,22.85,3.66
20200731:1310,306.77,646,41.08,22.84,3.38
20200731:1410,219.62,466,31.95,23.53,4
20200731:1510,124.98,277,22.44,22.95,4.14
20200731:1610,52.77,134,12.98,21.91,3.79
20200731:1710,3.79,19.61,3.95,20.92,2.69
20200731:1810,0,0,0,20.06,1.86
20200731:1910,0,0,0,19,2.14
20200731:2010,0,0,0,18.19,1.86
20200731:2110,0,0,0,17.58,1.72
20200731:2210,0,0,0,17.03,2
20200731:2310,0,0,0,16.62,2.28
20200801:0010,0,0,0,16.45,2.48
20200801:0110,0,0,0,16.03,2.69
20200801:0210,0,0,0,15.64,2.76
20200801:0310,8.38,30.56,5.71,15.26,2.83
20200801:0410,77.24,185,14.88,15.79,2.83
20200801:0510,171.28,364,24.38,16.88,3.59
20200801:0610,236.01,485,33.85,18.08,4.48
20200801:0710,203.42,422,42.8,18.88,4.21
20200801:0810,114.61,247,50.53,19.81,4.07
20200801:0910,235.48,492,55.91,20.39,4.14
20200801:1010,224.42,470,57.58,20.78,4.34
20200801:1110,238.14,498,54.98,21.09,4.55
20200801:1210,325.69,676.01,48.96,20.89,4.48
20200801:1310,167.98,354,40.87,20.82,4.62
20200801:1410,95.5,209,31.75,19.93,4.14
20200801:1510,114.56,251,22.24,19.91,4.28
20200801:1610,18.98,54,12.79,19.29,3.86
20200801:1710,3.46,18.61,3.74,18.74,2.83
20200801:1810,0,0,0,18.28,2.62
20200801:1910,0,0,0,17.52,2.41
20200801:2010,0,0,0,16.95,2.62
20200801:2110,0,0,0,16.4,2.69
20200801:2210,0,0,0,15.82,2.69
20200801:2310,0,0,0,15.39,2.62
20200802:0010,0,0,0,14.94,2.69
20200802:0110,0,0,0,14.51,2.76
20200802:0210,0,0,0,14.06,2.69
20200802:0310,10.41,38.75,5.53,13.8,2.76
20200802:0410,8.18,29,14.7,14.55,2.76
20200802:0510,151.87,321,24.2,15.66,3.72
20200802:0610,247.68,505,33.66,16.76,4.69
20200802:0710,246.85,504,42.61,17.32,4.76
20200802:0810,250,514,50.32,18.05,4.55
20200802:0910,331.46,684,55.67,18.38,4.14
20200802:1010,361.52,751.01,57.33,18.96,3.86
20200802:1110,375.34,782.01,54.74,19.41,3.66
20200802:1210,212.5,444,48.73,19.75,3.59
20200802:1310,110.9,240,40.67,19.95,3.45
20200802:1410,180.46,380,31.55,19.84,3.1
20200802:1510,132.72,292,22.05,19.95,2.83
20200802:1610,58.94,153,12.59,19.85,2.48
20200802:1710,2.69,15.82,3.54,19.35,1.93
20200802:1810,0,0,0,18.7,1.72
20200802:1910,0,0,0,18.21,1.66
20200802:2010,0,0,0,17.28,1.66
20200802:2110,0,0,0,16.62,1.79
20200802:2210,0,0,0,16.52,1.59
20200802:2310,0,0,0,16.06,1.52
20200803:0010,0,0,0,15.73,1.45
20200803:0110,0,0,0,15.33,1.38
20200803:0210,0,0,0,15.5,1.17
20200803:0310,10.7,46.65,5.34,15.6,1.03
20200803:0410,78.97,194,14.52,16.28,0.62
20200803:0510,164.11,359,24.02,18.12,0.21
20200803:0610,243.97,523,33.48,19.88,0.34
20200803:0710,262.15,562,42.41,20.64,0.55
20200803:0810,227.69,490,50.1,21.9,0.9
20200803:0910,296.06,641,55.42,22.73,1.24
20200803:1010,310.57,673,57.07,23.18,1.52
20200803:1110,332.53,719.01,54.49,23.67,1.93
20200803:1210,323.99,697.01,48.5,24.33,2.28
20200803:1310,280.31,599,40.45,24.62,2.62
20200803:1410,225.35,483,31.35,24.43,3.1
20200803:1510,137.18,308,21.84,23.91,3.38
20200803:1610,38.2,99,12.38,23.09,3.24
20200803:1710,1.63,12,3.32,21.92,3.1
20200803:1810,0,0,0,20.86,2.97
20200803:1910,0,0,0,20.46,2.97
20200803:2010,0,0,0,19.69,2.83
20200803:2110,0,0,0,18.93,2.83
20200803:2210,0,0,0,18.31,2.97
20200803:2310,0,0,0,17.87,2.97
20200804:0010,0,0,0,17.52,2.9
20200804:0110,0,0,0,17.23,2.83
20200804:0210,0,0,0,16.8,2.83
20200804:0310,0.8,9,5.14,16.4,2.62
20200804:0410,80.12,198,14.33,16.97,2.14
20200804:0510,165.18,358,23.84,18.88,2.21
20200804:0610,244.94,517,33.29,20.94,2.34
20200804:0710,311.57,659.01,42.21,22.73,2.83
20200804:0810,356.52,764.01,49.87,24.61,3.03
20200804:0910,368.77,795.01,55.18,26.08,3.59
20200804:1010,378.88,818.01,56.81,27.05,4.14
20200804:1110,372.29,802.01,54.23,27.71,4.55
20200804:1210,350.93,755.01,48.27,28.01,4.41
20200804:1310,300.94,646.01,40.23,28.18,4.41
20200804:1410,222.09,482,31.14,28.1,4.21
20200804:1510,140.54,322,21.63,27.74,3.79
20200804:1610,56.32,155,12.17,26.81,2.97
20200804:1710,2.25,14.8,3.1,25.1,2.9
20200804:1810,0,0,0,23.54,3.24
20200804:1910,0,0,0,22.61,3.24
20200804:2010,0,0,0,21.88,3.17
20200804:2110,0,0,0,21.19,3.03
20200804:2210,0,0,0,20.54,2.9
20200804:2310,0,0,0,19.92,2.76
20200805:0010,0,0,0,19.28,2.69
20200805:0110,0,0,0,18.69,2.62
20200805:0210,0,0,0,18.12,2.48
20200805:0310,7.66,30.82,4.95,17.57,2.34
20200805:0410,68.03,167,14.15,18.2,1.93
20200805:0510,150.74,330,23.66,20.41,1.86
20200805:0610,230.73,493,33.1,22.4,1.72
20200805:0710,293.99,637.01,42.01,24.5,1.31
20200805:0810,337.99,747.01,49.65,26.31,1.17
20200805:0910,364.16,818.01,54.92,27.87,1.17
20200805:1010,300.11,672,56.54,29.1,1.24
20200805:1110,355.13,798.01,53.97,29.92,1.66
20200805:1210,330.1,738.01,48.02,30.22,1.66
20200805:1310,285.16,634.01,40.01,30.3,1.59
20200805:1410,211.69,472,30.92,30.21,1.72
20200805:1510,132.08,309,21.42,29.92,1.86
20200805:1610,48.41,133,11.95,29.1,1.59
20200805:1710,0.73,9,2.88,27.5,1.86
20200805:1810,0,0,0,25.72,2.07
20200805:1910,0,0,0,24.18,2.21
20200805:2010,0,0,0,22.87,2.28
20200805:2110,0,0,0,21.85,2.28
20200805:2210,0,0,0,20.94,2.21
20200805:2310,0,0,0,20.05,2.07
20200806:0010,0,0,0,19.27,2.07
20200806:0110,0,0,0,18.56,2
20200806:0210,0,0,0,17.9,1.93
20200806:0310,2,13,4.75,17.39,1.66
20200806:0410,65.12,161,13.96,18.51,1.1
20200806:0510,149.04,331,23.47,21.71,0.83
20200806:0610,230.41,500,32.91,23.96,0.97
20200806:0710,293.27,640.01,41.8,25.74,1.24
20200806:0810,341.99,752.01,49.42,27.42,1.93
20200806:0910,372.95,823.01,54.67,28.54,2.62
20200806:1010,382.9,846.01,56.27,29.34,3.03
20200806:1110,375.86,829.01,53.71,29.99,3.31
20200806:1210,339.92,746.01,47.78,30.39,3.38
20200806:1310,289.38,633.01,39.77,30.55,3.38
20200806:1410,215.06,475,30.7,30.45,3.31
20200806:1510,134.08,313,21.2,30.07,3.1
20200806:1610,52.73,149,11.73,29.11,2.21
20200806:1710,0.24,7,2.65,27.45,2.21
20200806:1810,0,0,0,25.74,2.41
20200806:1910,0,0,0,24.65,2.34
20200806:2010,0,0,0,23.58,2.21
20200806:2110,0,0,0,22.4,2
20200806:2210,0,0,0,21.13,1.79
20200806:2310,0,0,0,20.13,1.93
20200807:0010,0,0,0,19.36,2.07
20200807:0110,0,0,0,19.01,2.21
20200807:0210,0,0,0,18.7,2.21
20200807:0310,1.67,12,4.55,18.42,2.07
20200807:0410,57.76,143,13.77,19.56,1.79
20200807:0510,139.68,309,23.28,22.12,2
20200807:0610,219.38,471,32.72,24.16,2.28
20200807:0710,282.12,607,41.59,26.04,2.55
20200807:0810,334,726.01,49.19,27.62,2.83
20200807:0910,366.64,804.01,54.41,28.76,3.1
20200807:1010,362.73,796.01,55.99,29.23,3.31
20200807:1110,352.54,772.01,53.44,29.39,3.38
20200807:1210,272.75,595,47.52,29.77,3.52
20200807:1310,219.05,478,39.54,29.55,3.45
20200807:1410,207.36,456,30.47,29.51,3.38
20200807:1510,130.11,303,20.98,29.22,3.38
20200807:1610,46.93,131,11.5,28.38,2.9
20200807:1710,0,5,2.41,27.09,2.76
20200807:1810,0,0,0,25.71,2.9
20200807:1910,0,0,0,24.77,3.24
20200807:2010,0,0,0,23.98,3.52
20200807:2110,0,0,0,23.23,3.59
20200807:2210,0,0,0,22.44,3.45
20200807:2310,0,0,0,21.65,3.17
20200808:0010,0,0,0,20.84,2.83
20200808:0110,0,0,0,20.07,2.62
20200808:0210,0,0,0,19.35,2.62
20200808:0310,7,32.52,4.35,18.81,2.62
20200808:0410,70.4,179,13.57,19.18,2.48
20200808:0510,156.15,342,23.09,20.54,2.97
20200808:0610,238.67,504,32.52,22.1,3.24
20200808:0710,301.61,637.01,41.38,23.56,3.38
20200808:0810,349.16,741.01,48.95,24.88,4.07
20200808:0910,370.27,790.01,54.14,25.86,4.48
20200808:1010,339.66,726.01,55.71,26.62,4.83
20200808:1110,308.61,660.01,53.16,27.06,4.9
20200808:1210,252.07,539,47.27,26.95,4.83
20200808:1310,190.55,410,39.3,26.72,4.69
20200808:1410,187,404,30.24,26.29,4.41
20200808:1510,113.41,259,20.75,25.71,3.79
20200808:1610,26.38,73,11.27,25.14,3.03
20200808:1710,0,3,2.17,24.34,2.48
20200808:1810,0,0,0,23.23,2.21
20200808:1910,0,0,0,22.33,1.79
20200808:2010,0,0,0,21.55,1.72
20200808:2110,0,0,0,20.72,1.72
20200808:2210,0,0,0,19.98,1.66
20200808:2310,0,0,0,19.62,1.66
20200809:0010,0,0,0,19.24,1.72
20200809:0110,0,0,0,18.62,1.86
20200809:0210,0,0,0,18,2
20200809:0310,4.46,20,4.15,17.84,1.93
20200809:0410,64.93,165,13.38,18.76,1.66
20200809:0510,149.1,329,22.9,20.68,1.86
20200809:0610,230.78,492,32.33,21.95,1.86
20200809:0710,295.59,629.01,41.17,22.9,2.14
20200809:0810,340.24,729.01,48.71,23.78,2.41
20200809:0910,324.09,698.01,53.87,24.63,2.55
20200809:1010,344.48,747.01,55.43,25.53,2.55
20200809:1110,327.91,711.01,52.88,26.05,2.55
20200809:1210,295.78,639.01,47,25.98,2.41
20200809:1310,265.1,572,39.05,26.1,2.28
20200809:1410,207.31,452,30,26.03,2.21
20200809:1510,129.21,299,20.51,25.84,2.07
20200809:1610,47.64,136,11.03,25.31,1.59
20200809:1710,0,4,1.93,24.29,1.72
20200809:1810,0,0,0,23.02,2
20200809:1910,0,0,0,22.54,1.93
20200809:2010,0,0,0,21.79,1.86
20200809:2110,0,0,0,20.97,1.72
20200809:2210,0,0,0,20.29,1.59
20200809:2310,0,0,0,19.6,1.52
20200810:0010,0,0,0,19.21,1.59
20200810:0110,0,0,0,19.17,1.79
20200810:0210,0,0,0,19.04,1.79
20200810:0310,0,3,3.94,18.92,1.72
20200810:0410,2.63,15,13.18,19.43,1.59
20200810:0510,51.28,122,22.71,21.11,1.86
20200810:0610,85.05,191,32.13,22.15,2
20200810:0710,225.11,479,40.95,22.57,2.07
20200810:0810,307.12,656.01,48.47,23.45,2.34
20200810:0910,55.42,132,53.6,24.16,2.14
20200810:1010,215.63,467,55.14,24.97,2
20200810:1110,347.99,758.01,52.59,25.49,2
20200810:1210,165.21,360,46.73,25.51,2.21
20200810:1310,203.33,437,38.8,24.92,2.55
20200810:1410,41.84,104,29.76,24.41,2.28
20200810:1510,84.58,195,20.27,23.94,1.52
20200810:1610,46.24,132,10.79,23.94,1.45
20200810:1710,0,1,1.68,23.17,1.45
20200810:1810,0,0,0,22.02,1.86
20200810:1910,0,0,0,20.85,1.93
20200810:2010,0,0,0,20.16,1.59
20200810:2110,0,0,0,19.51,1.66
20200810:2210,0,0,0,18.96,1.66
20200810:2310,0,0,0,18.38,1.59
20200811:0010,0,0,0,17.96,1.59
20200811:0110,0,0,0,17.6,1.66
20200811:0210,0,0,0,17.3,1.79
20200811:0310,2.33,14,3.74,17.18,1.86
20200811:0410,61.07,156,12.99,18.09,1.59
20200811:0510,144.5,319,22.51,20.01,1.79
20200811:0610,225.85,481,31.92,21.62,1.86
20200811:0710,290.42,620.01,40.74,23.04,1.86
20200811:0810,337.4,728.01,48.23,24.43,2.07
20200811:0910,359.38,781.01,53.33,25.72,2.41
20200811:1010,373.74,817.01,54.84,26.63,2.55
20200811:1110,364.55,798.01,52.3,27.18,2.48
20200811:1210,326.95,712.01,46.46,27.49,2.48
20200811:1310,239.62,520,38.54,27.48,2.48
20200811:1410,79.87,183,29.51,26.19,4
20200811:1510,43.25,107,20.03,24.68,3.72
20200811:1610,15.73,48,10.54,23.77,2.69
20200811:1710,0,0,0,22.93,2.21
20200811:1810,0,0,0,21.99,2.21
20200811:1910,0,0,0,21.65,2.21
20200811:2010,0,0,0,21.02,2.21
20200811:2110,0,0,0,20.44,2.28
20200811:2210,0,0,0,19.96,2.34
20200811:2310,0,0,0,19.59,2.62
20200812:0010,0,0,0,19.09,2.97
20200812:0110,0,0,0,18.57,3.31
20200812:0210,0,0,0,17.79,3.17
20200812:0310,0,2,3.53,17.25,3.1
20200812:0410,56.66,142,12.79,17.15,3.31
20200812:0510,129.9,281,22.31,17.43,3.52
20200812:0610,224.2,464,31.72,17.85,3.59
20200812:0710,268.31,551,40.52,18.44,4.14
20200812:0810,298.76,616,47.98,19.41,4.48
20200812:0910,298.94,620,53.05,20.17,4.55
20200812:1010,145.22,309,54.54,20.71,4.62
20200812:1110,243.3,507,52.01,20.69,4.62
20200812:1210,215.92,450,46.18,20.55,4.76
20200812:1310,120.71,259,38.27,20.25,4.83
20200812:1410,43.43,105,29.26,19.9,4.76
20200812:1510,94.34,211,19.78,19.46,4
20200812:1610,32.33,87,10.29,19.26,3.66
20200812:1710,0,0,0,18.87,2.9
20200812:1810,0,0,0,18.57,2.41
20200812:1910,0,0,0,17.37,2.55
20200812:2010,0,0,0,16.8,2.48
20200812:2110,0,0,0,16.09,2.28
20200812:2210,0,0,0,15.76,2.07
20200812:2310,0,0,0,15.21,2.07
20200813:0010,0,0,0,14.99,2.14
20200813:0110,0,0,0,14.91,2.14
20200813:0210,0,0,0,14.8,2.21
20200813:0310,1.4,11,3.32,14.62,2.28
20200813:0410,62,158,12.59,15.09,2.28
20200813:0510,129.49,279,22.11,15.95,2.9
20200813:0610,186.89,387,31.51,16.79,3.45
20200813:0710,214.43,440,40.29,16.69,3.86
20200813:0810,313.63,643.01,47.73,17.45,3.86
20200813:0910,302.14,624,52.77,18.01,3.59
20200813:1010,159.76,336,54.24,18.29,3.24
20200813:1110,73.64,165,51.71,18.65,3.03
20200813:1210,215.73,450,45.9,19.08,3.1
20200813:1310,230.65,479,38.01,19.16,3.31
20200813:1410,73.58,165,29,18.95,3.38
20200813:1510,76.04,172,19.52,18.82,3.31
20200813:1610,31.57,86,10.03,18.57,2.9
20200813:1710,0,0,0,18.07,2.14
20200813:1810,0,0,0,17.4,1.72
20200813:1910,0,0,0,16.61,2.07
20200813:2010,0,0,0,15.99,1.93
20200813:2110,0,0,0,15.39,1.72
20200813:2210,0,0,0,14.75,1.59
20200813:2310,0,0,0,14.75,1.66
20200814:0010,0,0,0,14.1,1.93
20200814:0110,0,0,0,13.7,2
20200814:0210,0,0,0,13.74,2
20200814:0310,0,2,3.11,13.5,2.07
20200814:0410,60.17,153,12.38,13.87,1.86
20200814:0510,149.57,323,21.91,15.13,2.41
20200814:0610,237.39,489,31.31,16.13,3.03
20200814:0710,273.46,562,40.07,17.38,3.17
20200814:0810,331.99,683.01,47.47,18.31,3.93
20200814:0910,369.57,765.01,52.48,18.8,3.93
20200814:1010,388.14,807.01,53.93,19.1,3.79
20200814:1110,364.87,759.01,51.4,19.48,3.66
20200814:1210,325.04,674.01,45.61,19.82,3.72
20200814:1310,280.27,581.01,37.73,19.81,3.59
20200814:1410,206.28,435,28.74,19.6,3.17
20200814:1510,118.57,268,19.26,19.22,2.76
20200814:1610,37.05,104,9.77,18.81,2.07
20200814:1710,0,0,0,18.09,1.66
20200814:1810,0,0,0,17.46,1.59
20200814:1910,0,0,0,16.47,1.72
20200814:2010,0,0,0,15.55,1.72
20200814:2110,0,0,0,14.81,1.66
20200814:2210,0,0,0,14.04,1.52
20200814:2310,0,0,0,13.7,1.45
20200815:0010,0,0,0,13.56,1.31
20200815:0110,0,0,0,13.53,1.24
20200815:0210,0,0,0,13.03,1.31
20200815:0310,2.41,14,2.89,12.16,1.45
20200815:0410,61.06,157,12.18,12.43,1.31
20200815:0510,148.75,325,21.71,15.39,0.9
20200815:0610,230.84,486,31.1,17.4,1.1
20200815:0710,295.31,623.01,39.84,17.98,0.9
20200815:0810,339.27,721.01,47.22,19.23,1.31
20200815:0910,374.99,804.01,52.19,20.47,1.66
20200815:1010,380.01,822.01,53.62,21.19,1.45
20200815:1110,373.36,807.01,51.09,21.68,1.52
20200815:1210,334.45,714.01,45.31,22.21,2
20200815:1310,282.19,599.01,37.46,22.33,2.21
20200815:1410,205.77,442,28.47,22.19,2.34
20200815:1510,121.67,281,19,21.84,2.21
20200815:1610,38.17,114,9.5,21.23,1.72
20200815:1710,0,0,0,20.1,1.66
20200815:1810,0,0,0,18.85,1.79
20200815:1910,0,0,0,17.65,1.72
